Order	POAexemptCode	Description
01222	B90.0	Sequelae of central nervous system tuberculosis
01223	B90.1	Sequelae of genitourinary tuberculosis
01224	B90.2	Sequelae of tuberculosis of bones and joints
01225	B90.8	Sequelae of tuberculosis of other organs
01226	B90.9	Sequelae of respiratory and unspecified tuberculosis
01227	B91	Sequelae of poliomyelitis
01228	B92	Sequelae of leprosy
01230	B94.0	Sequelae of trachoma
01231	B94.1	Sequelae of viral encephalitis
01232	B94.2	Sequelae of viral hepatitis
01233	B94.8	Sequelae of other specified infectious and parasitic diseases
01234	B94.9	Sequelae of unspecified infectious and parasitic disease
04154	E64.0	Sequelae of protein-calorie malnutrition
04155	E64.1	Sequelae of vitamin A deficiency
04156	E64.2	Sequelae of vitamin C deficiency
04157	E64.3	Sequelae of rickets
04158	E64.8	Sequelae of other nutritional deficiencies
04159	E64.9	Sequelae of unspecified nutritional deficiency
10313	I25.2	Old myocardial infarction
10737	I69.00	Unspecified sequelae of nontraumatic subarachnoid hemorrhage
10738	I69.01	Cognitive deficits following nontraumatic subarachnoid hemorrhage
10740	I69.020	Aphasia following nontraumatic subarachnoid hemorrhage
10741	I69.021	Dysphasia following nontraumatic subarachnoid hemorrhage
10742	I69.022	Dysarthria following nontraumatic subarachnoid hemorrhage
10743	I69.023	Fluency disorder following nontraumatic subarachnoid hemorrhage
10744	I69.028	Other speech and language deficits following nontraumatic subarachnoid hemorrhage
10746	I69.031	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
10747	I69.032	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
10748	I69.033	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
10749	I69.034	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
10750	I69.039	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
10752	I69.041	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
10753	I69.042	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
10754	I69.043	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
10755	I69.044	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
10756	I69.049	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
10758	I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
10759	I69.052	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side
10760	I69.053	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
10761	I69.054	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
10762	I69.059	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side
10764	I69.061	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side
10765	I69.062	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side
10766	I69.063	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
10767	I69.064	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
10768	I69.065	"Other paralytic syndrome following nontraumatic subarachnoid hemorrhage, bilateral"
10769	I69.069	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting unspecified side
10771	I69.090	Apraxia following nontraumatic subarachnoid hemorrhage
10772	I69.091	Dysphagia following nontraumatic subarachnoid hemorrhage
10773	I69.092	Facial weakness following nontraumatic subarachnoid hemorrhage
10774	I69.093	Ataxia following nontraumatic subarachnoid hemorrhage
10775	I69.098	Other sequelae following nontraumatic subarachnoid hemorrhage
10777	I69.10	Unspecified sequelae of nontraumatic intracerebral hemorrhage
10778	I69.11	Cognitive deficits following nontraumatic intracerebral hemorrhage
10780	I69.120	Aphasia following nontraumatic intracerebral hemorrhage
10781	I69.121	Dysphasia following nontraumatic intracerebral hemorrhage
