Order2017	POAexemptCode	Description
01223	B90.0	Sequelae of central nervous system tuberculosis
01224	B90.1	Sequelae of genitourinary tuberculosis
01225	B90.2	Sequelae of tuberculosis of bones and joints
01226	B90.8	Sequelae of tuberculosis of other organs
01227	B90.9	Sequelae of respiratory and unspecified tuberculosis
01228	B91	Sequelae of poliomyelitis
01229	B92	Sequelae of leprosy
01231	B94.0	Sequelae of trachoma
01232	B94.1	Sequelae of viral encephalitis
01233	B94.2	Sequelae of viral hepatitis
01234	B94.8	Sequelae of other specified infectious and parasitic diseases
01235	B94.9	Sequelae of unspecified infectious and parasitic disease
04465	E64.0	Sequelae of protein-calorie malnutrition
04466	E64.1	Sequelae of vitamin A deficiency
04467	E64.2	Sequelae of vitamin C deficiency
04468	E64.3	Sequelae of rickets
04469	E64.8	Sequelae of other nutritional deficiencies
04470	E64.9	Sequelae of unspecified nutritional deficiency
10803	I25.2	Old myocardial infarction
11242	I69.00	Unspecified sequelae of nontraumatic subarachnoid hemorrhage
11244	I69.010	Attention and concentration deficit following nontraumatic subarachnoid hemorrhage
11245	I69.011	Memory deficit following nontraumatic subarachnoid hemorrhage
11246	I69.012	Visuospatial deficit and spatial neglect following nontraumatic subarachnoid hemorrhage
11247	I69.013	Psychomotor deficit following nontraumatic subarachnoid hemorrhage
11248	I69.014	Frontal lobe and executive function deficit following nontraumatic subarachnoid hemorrhage
11249	I69.015	Cognitive social or emotional deficit following nontraumatic subarachnoid hemorrhage
11250	I69.018	Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
11251	I69.019	Unspecified symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
11253	I69.020	Aphasia following nontraumatic subarachnoid hemorrhage
11254	I69.021	Dysphasia following nontraumatic subarachnoid hemorrhage
11255	I69.022	Dysarthria following nontraumatic subarachnoid hemorrhage
11256	I69.023	Fluency disorder following nontraumatic subarachnoid hemorrhage
11257	I69.028	Other speech and language deficits following nontraumatic subarachnoid hemorrhage
11259	I69.031	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
11260	I69.032	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
11261	I69.033	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11262	I69.034	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11263	I69.039	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
11265	I69.041	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
11266	I69.042	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
11267	I69.043	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11268	I69.044	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11269	I69.049	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
11271	I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
11272	I69.052	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side
11273	I69.053	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11274	I69.054	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11275	I69.059	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side
11277	I69.061	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side
11278	I69.062	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side
11279	I69.063	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11280	I69.064	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11281	I69.065	"Other paralytic syndrome following nontraumatic subarachnoid hemorrhage, bilateral"
11282	I69.069	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting unspecified side
11284	I69.090	Apraxia following nontraumatic subarachnoid hemorrhage
11285	I69.091	Dysphagia following nontraumatic subarachnoid hemorrhage
11286	I69.092	Facial weakness following nontraumatic subarachnoid hemorrhage
11287	I69.093	Ataxia following nontraumatic subarachnoid hemorrhage
11288	I69.098	Other sequelae following nontraumatic subarachnoid hemorrhage
11290	I69.10	Unspecified sequelae of nontraumatic intracerebral hemorrhage
11292	I69.110	Attention and concentration deficit following nontraumatic intracerebral hemorrhage
11293	I69.111	Memory deficit following nontraumatic intracerebral hemorrhage
