MCE_Version	ICD_Version	MCE_Section	MCE_Subsection	MCE_Edit_Type	ICD_Code_Type	ICD_Code	ICD_Desc
28	9	4	A	Newborn_Only	D	27701	Cystic fibrosis w ileus
28	9	4	A	Newborn_Only	D	74783	Persistent fetal circ
28	9	4	A	Newborn_Only	D	76077	Mat anticonv aff NB/fet
28	9	4	A	Newborn_Only	D	76078	Mat antimetabol aff NB
28	9	4	A	Newborn_Only	D	7620	Placenta previa aff NB
28	9	4	A	Newborn_Only	D	7621	Placenta hem NEC aff NB
28	9	4	A	Newborn_Only	D	7622	Abn plac NEC/NOS aff NB
28	9	4	A	Newborn_Only	D	7623	Placent transfusion syn
28	9	4	A	Newborn_Only	D	7624	Prolapsed cord aff NB
28	9	4	A	Newborn_Only	D	7625	Oth umbil cord compress
28	9	4	A	Newborn_Only	D	7626	Umbil cond NEC aff NB
28	9	4	A	Newborn_Only	D	7627	Chorioamnionitis aff NB
28	9	4	A	Newborn_Only	D	7628	Abn amnion NEC aff NB
28	9	4	A	Newborn_Only	D	7629	Abn amnion NOS aff NB
28	9	4	A	Newborn_Only	D	7630	Breech del/extrac aff NB
28	9	4	A	Newborn_Only	D	7631	Malpos/dispro NEC aff NB
28	9	4	A	Newborn_Only	D	7632	Forceps delivery aff NB
28	9	4	A	Newborn_Only	D	7633	Vacuum extrac del aff NB
28	9	4	A	Newborn_Only	D	7634	Cesarean delivery aff NB
28	9	4	A	Newborn_Only	D	7635	Mat anesth/analg aff NB
28	9	4	A	Newborn_Only	D	7636	Precipitate del aff NB
28	9	4	A	Newborn_Only	D	7637	Abn uterine contr aff NB
28	9	4	A	Newborn_Only	D	76381	Ab ftl hrt rt/rh b/f lab
28	9	4	A	Newborn_Only	D	76382	Ab ftl hrt rt/rh dur lab
28	9	4	A	Newborn_Only	D	76383	Ab ftl hrt rt/rhy NOS
28	9	4	A	Newborn_Only	D	76384	Meconium dur del aff NB
28	9	4	A	Newborn_Only	D	76389	Compl del NEC aff NB
