MCE_Version	ICD_Version	MCE_Section	MCE_Exclusion_Type	ICD_Code_Type	ICD_Code	ICD_Desc
30	9	4.A	Newborn_Only	D	27701	Cystic fibrosis w ileus
30	9	4.A	Newborn_Only	D	74783	Persistent fetal circ
30	9	4.A	Newborn_Only	D	76077	Mat anticonv aff NB/fet
30	9	4.A	Newborn_Only	D	76078	Mat antimetabol aff NB
30	9	4.A	Newborn_Only	D	7620	Placenta previa aff NB
30	9	4.A	Newborn_Only	D	7621	Placenta hem NEC aff NB
30	9	4.A	Newborn_Only	D	7622	Abn plac NEC/NOS aff NB
30	9	4.A	Newborn_Only	D	7623	Placent transfusion syn
30	9	4.A	Newborn_Only	D	7624	Prolapsed cord aff NB
30	9	4.A	Newborn_Only	D	7625	Oth umbil cord compress
30	9	4.A	Newborn_Only	D	7626	Umbil cond NEC aff NB
30	9	4.A	Newborn_Only	D	7627	Chorioamnionitis aff NB
30	9	4.A	Newborn_Only	D	7628	Abn amnion NEC aff NB
30	9	4.A	Newborn_Only	D	7629	Abn amnion NOS aff NB
30	9	4.A	Newborn_Only	D	7630	Breech del/extrac aff NB
30	9	4.A	Newborn_Only	D	7631	Malpos/dispro NEC aff NB
30	9	4.A	Newborn_Only	D	7632	Forceps delivery aff NB
30	9	4.A	Newborn_Only	D	7633	Vacuum extrac del aff NB
30	9	4.A	Newborn_Only	D	7634	Cesarean delivery aff NB
30	9	4.A	Newborn_Only	D	7635	Mat anesth/analg aff NB
30	9	4.A	Newborn_Only	D	7636	Precipitate del aff NB
30	9	4.A	Newborn_Only	D	7637	Abn uterine contr aff NB
30	9	4.A	Newborn_Only	D	76381	Ab ftl hrt rt/rh b/f lab
30	9	4.A	Newborn_Only	D	76382	Ab ftl hrt rt/rh dur lab
30	9	4.A	Newborn_Only	D	76383	Ab ftl hrt rt/rhy NOS
30	9	4.A	Newborn_Only	D	76384	Meconium dur del aff NB
30	9	4.A	Newborn_Only	D	76389	Compl del NEC aff NB
30	9	4.A	Newborn_Only	D	7639	Compl deliv NOS aff NB
30	9	4.A	Newborn_Only	D	76400	Light-for-dates wtNOS
30	9	4.A	Newborn_Only	D	76401	Light-for-dates <500g
30	9	4.A	Newborn_Only	D	76402	Lt-for-dates 500-749g
30	9	4.A	Newborn_Only	D	76403	Lt-for-dates 750-999g
30	9	4.A	Newborn_Only	D	76404	Lt-for-dates 1000-1249g
30	9	4.A	Newborn_Only	D	76405	Lt-for-dates 1250-1499g
30	9	4.A	Newborn_Only	D	76406	Lt-for-dates 1500-1749g
30	9	4.A	Newborn_Only	D	76407	Lt-for-dates 1750-1999g
30	9	4.A	Newborn_Only	D	76408	Lt-for-dates 2000-2499g
30	9	4.A	Newborn_Only	D	76409	Lt-for-dates 2500+g
30	9	4.A	Newborn_Only	D	76410	Lt-for-date w/mal wtNOS
30	9	4.A	Newborn_Only	D	76411	Lt-for-date w/mal <500g
30	9	4.A	Newborn_Only	D	76412	Lt-date w/mal 500-749g
30	9	4.A	Newborn_Only	D	76413	Lt-date w/mal 750-999g
30	9	4.A	Newborn_Only	D	76414	Lt-date w/mal 1000-1249g
30	9	4.A	Newborn_Only	D	76415	Lt-date w/mal 1250-1499g
30	9	4.A	Newborn_Only	D	76416	Lt-date w/mal 1500-1749g
30	9	4.A	Newborn_Only	D	76417	Lt-date w/mal 1750-1999g
30	9	4.A	Newborn_Only	D	76418	Lt-date w/mal 2000-2499g
30	9	4.A	Newborn_Only	D	76419	Lt-for-date w/mal 2500+g
30	9	4.A	Newborn_Only	D	76420	Fetal malnutrition wtNOS
