Order2020	POAexemptCode	Description
01225	B90.0	Sequelae of central nervous system tuberculosis
01226	B90.1	Sequelae of genitourinary tuberculosis
01227	B90.2	Sequelae of tuberculosis of bones and joints
01228	B90.8	Sequelae of tuberculosis of other organs
01229	B90.9	Sequelae of respiratory and unspecified tuberculosis
01230	B91	Sequelae of poliomyelitis
01231	B92	Sequelae of leprosy
01233	B94.0	Sequelae of trachoma
01234	B94.1	Sequelae of viral encephalitis
01235	B94.2	Sequelae of viral hepatitis
01236	B94.8	Sequelae of other specified infectious and parasitic diseases
01237	B94.9	Sequelae of unspecified infectious and parasitic disease
04530	E64.0	Sequelae of protein-calorie malnutrition
04531	E64.1	Sequelae of vitamin A deficiency
04532	E64.2	Sequelae of vitamin C deficiency
04533	E64.3	Sequelae of rickets
04534	E64.8	Sequelae of other nutritional deficiencies
04535	E64.9	Sequelae of unspecified nutritional deficiency
11028	I25.2	Old myocardial infarction
11496	I69.00	Unspecified sequelae of nontraumatic subarachnoid hemorrhage
11498	I69.010	Attention and concentration deficit following nontraumatic subarachnoid hemorrhage
11499	I69.011	Memory deficit following nontraumatic subarachnoid hemorrhage
11500	I69.012	Visuospatial deficit and spatial neglect following nontraumatic subarachnoid hemorrhage
11501	I69.013	Psychomotor deficit following nontraumatic subarachnoid hemorrhage
11502	I69.014	Frontal lobe and executive function deficit following nontraumatic subarachnoid hemorrhage
11503	I69.015	Cognitive social or emotional deficit following nontraumatic subarachnoid hemorrhage
11504	I69.018	Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
11505	I69.019	Unspecified symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
11507	I69.020	Aphasia following nontraumatic subarachnoid hemorrhage
11508	I69.021	Dysphasia following nontraumatic subarachnoid hemorrhage
11509	I69.022	Dysarthria following nontraumatic subarachnoid hemorrhage
11510	I69.023	Fluency disorder following nontraumatic subarachnoid hemorrhage
11511	I69.028	Other speech and language deficits following nontraumatic subarachnoid hemorrhage
11513	I69.031	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
11514	I69.032	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
11515	I69.033	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11516	I69.034	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11517	I69.039	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
11519	I69.041	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
11520	I69.042	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
11521	I69.043	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11522	I69.044	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11523	I69.049	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
11525	I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
11526	I69.052	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side
11527	I69.053	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11528	I69.054	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11529	I69.059	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side
11531	I69.061	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side
11532	I69.062	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side
11533	I69.063	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11534	I69.064	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11535	I69.065	"Other paralytic syndrome following nontraumatic subarachnoid hemorrhage, bilateral"
11536	I69.069	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting unspecified side
11538	I69.090	Apraxia following nontraumatic subarachnoid hemorrhage
11539	I69.091	Dysphagia following nontraumatic subarachnoid hemorrhage
11540	I69.092	Facial weakness following nontraumatic subarachnoid hemorrhage
11541	I69.093	Ataxia following nontraumatic subarachnoid hemorrhage
11542	I69.098	Other sequelae following nontraumatic subarachnoid hemorrhage
11544	I69.10	Unspecified sequelae of nontraumatic intracerebral hemorrhage
11546	I69.110	Attention and concentration deficit following nontraumatic intracerebral hemorrhage
11547	I69.111	Memory deficit following nontraumatic intracerebral hemorrhage
11548	I69.112	Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage
11549	I69.113	Psychomotor deficit following nontraumatic intracerebral hemorrhage
11550	I69.114	Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage
11551	I69.115	Cognitive social or emotional deficit following nontraumatic intracerebral hemorrhage
11552	I69.118	Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
11553	I69.119	Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
11555	I69.120	Aphasia following nontraumatic intracerebral hemorrhage
11556	I69.121	Dysphasia following nontraumatic intracerebral hemorrhage
11557	I69.122	Dysarthria following nontraumatic intracerebral hemorrhage
11558	I69.123	Fluency disorder following nontraumatic intracerebral hemorrhage
11559	I69.128	Other speech and language deficits following nontraumatic intracerebral hemorrhage
11561	I69.131	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right dominant side
11562	I69.132	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left dominant side
11563	I69.133	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11564	I69.134	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11565	I69.139	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting unspecified side
11567	I69.141	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side
11568	I69.142	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side
11569	I69.143	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11570	I69.144	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11571	I69.149	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting unspecified side
11573	I69.151	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side
11574	I69.152	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
11575	I69.153	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11576	I69.154	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11577	I69.159	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side
11579	I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side
11580	I69.162	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side
11581	I69.163	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11582	I69.164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11583	I69.165	"Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral"
11584	I69.169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
11586	I69.190	Apraxia following nontraumatic intracerebral hemorrhage
11587	I69.191	Dysphagia following nontraumatic intracerebral hemorrhage
11588	I69.192	Facial weakness following nontraumatic intracerebral hemorrhage
11589	I69.193	Ataxia following nontraumatic intracerebral hemorrhage
11590	I69.198	Other sequelae of nontraumatic intracerebral hemorrhage
11592	I69.20	Unspecified sequelae of other nontraumatic intracranial hemorrhage
11594	I69.210	Attention and concentration deficit following other nontraumatic intracranial hemorrhage
11595	I69.211	Memory deficit following other nontraumatic intracranial hemorrhage
11596	I69.212	Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage
11597	I69.213	Psychomotor deficit following other nontraumatic intracranial hemorrhage
11598	I69.214	Frontal lobe and executive function deficit following other nontraumatic intracranial hemorrhage
11599	I69.215	Cognitive social or emotional deficit following other nontraumatic intracranial hemorrhage
11600	I69.218	Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
11601	I69.219	Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
11603	I69.220	Aphasia following other nontraumatic intracranial hemorrhage
11604	I69.221	Dysphasia following other nontraumatic intracranial hemorrhage
11605	I69.222	Dysarthria following other nontraumatic intracranial hemorrhage
11606	I69.223	Fluency disorder following other nontraumatic intracranial hemorrhage
11607	I69.228	Other speech and language deficits following other nontraumatic intracranial hemorrhage
11609	I69.231	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side
11610	I69.232	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side
11611	I69.233	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11612	I69.234	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11613	I69.239	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side
11615	I69.241	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side
11616	I69.242	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side
11617	I69.243	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11618	I69.244	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11619	I69.249	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side
11621	I69.251	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
11622	I69.252	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
11623	I69.253	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11624	I69.254	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11625	I69.259	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side
11627	I69.261	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side
11628	I69.262	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side
11629	I69.263	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11630	I69.264	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11631	I69.265	"Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral"
11632	I69.269	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side
11634	I69.290	Apraxia following other nontraumatic intracranial hemorrhage
11635	I69.291	Dysphagia following other nontraumatic intracranial hemorrhage
11636	I69.292	Facial weakness following other nontraumatic intracranial hemorrhage
11637	I69.293	Ataxia following other nontraumatic intracranial hemorrhage
11638	I69.298	Other sequelae of other nontraumatic intracranial hemorrhage
11640	I69.30	Unspecified sequelae of cerebral infarction
11642	I69.310	Attention and concentration deficit following cerebral infarction
11643	I69.311	Memory deficit following cerebral infarction
11644	I69.312	Visuospatial deficit and spatial neglect following cerebral infarction
11645	I69.313	Psychomotor deficit following cerebral infarction
11646	I69.314	Frontal lobe and executive function deficit following cerebral infarction
11647	I69.315	Cognitive social or emotional deficit following cerebral infarction
11648	I69.318	Other symptoms and signs involving cognitive functions following cerebral infarction
11649	I69.319	Unspecified symptoms and signs involving cognitive functions following cerebral infarction
11651	I69.320	Aphasia following cerebral infarction
11652	I69.321	Dysphasia following cerebral infarction
11653	I69.322	Dysarthria following cerebral infarction
11654	I69.323	Fluency disorder following cerebral infarction
11655	I69.328	Other speech and language deficits following cerebral infarction
11657	I69.331	Monoplegia of upper limb following cerebral infarction affecting right dominant side
11658	I69.332	Monoplegia of upper limb following cerebral infarction affecting left dominant side
11659	I69.333	Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
11660	I69.334	Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
11661	I69.339	Monoplegia of upper limb following cerebral infarction affecting unspecified side
11663	I69.341	Monoplegia of lower limb following cerebral infarction affecting right dominant side
11664	I69.342	Monoplegia of lower limb following cerebral infarction affecting left dominant side
11665	I69.343	Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
11666	I69.344	Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
11667	I69.349	Monoplegia of lower limb following cerebral infarction affecting unspecified side
11669	I69.351	Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
11670	I69.352	Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
11671	I69.353	Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
11672	I69.354	Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
11673	I69.359	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
11675	I69.361	Other paralytic syndrome following cerebral infarction affecting right dominant side
11676	I69.362	Other paralytic syndrome following cerebral infarction affecting left dominant side
11677	I69.363	Other paralytic syndrome following cerebral infarction affecting right non-dominant side
11678	I69.364	Other paralytic syndrome following cerebral infarction affecting left non-dominant side
11679	I69.365	"Other paralytic syndrome following cerebral infarction, bilateral"
11680	I69.369	Other paralytic syndrome following cerebral infarction affecting unspecified side
11682	I69.390	Apraxia following cerebral infarction
11683	I69.391	Dysphagia following cerebral infarction
11684	I69.392	Facial weakness following cerebral infarction
11685	I69.393	Ataxia following cerebral infarction
11686	I69.398	Other sequelae of cerebral infarction
11688	I69.80	Unspecified sequelae of other cerebrovascular disease
11690	I69.810	Attention and concentration deficit following other cerebrovascular disease
11691	I69.811	Memory deficit following other cerebrovascular disease
11692	I69.812	Visuospatial deficit and spatial neglect following other cerebrovascular disease
11693	I69.813	Psychomotor deficit following other cerebrovascular disease
11694	I69.814	Frontal lobe and executive function deficit following other cerebrovascular disease
11695	I69.815	Cognitive social or emotional deficit following other cerebrovascular disease
11696	I69.818	Other symptoms and signs involving cognitive functions following other cerebrovascular disease
11697	I69.819	Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
11699	I69.820	Aphasia following other cerebrovascular disease
11700	I69.821	Dysphasia following other cerebrovascular disease
11701	I69.822	Dysarthria following other cerebrovascular disease
11702	I69.823	Fluency disorder following other cerebrovascular disease
11703	I69.828	Other speech and language deficits following other cerebrovascular disease
11705	I69.831	Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
11706	I69.832	Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
11707	I69.833	Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
11708	I69.834	Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
11709	I69.839	Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
11711	I69.841	Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
11712	I69.842	Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
11713	I69.843	Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
11714	I69.844	Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
11715	I69.849	Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
11717	I69.851	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
11718	I69.852	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
11719	I69.853	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
11720	I69.854	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
11721	I69.859	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
11723	I69.861	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
11724	I69.862	Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
11725	I69.863	Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
11726	I69.864	Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
11727	I69.865	"Other paralytic syndrome following other cerebrovascular disease, bilateral"
11728	I69.869	Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
11730	I69.890	Apraxia following other cerebrovascular disease
11731	I69.891	Dysphagia following other cerebrovascular disease
11732	I69.892	Facial weakness following other cerebrovascular disease
11733	I69.893	Ataxia following other cerebrovascular disease
11734	I69.898	Other sequelae of other cerebrovascular disease
11736	I69.90	Unspecified sequelae of unspecified cerebrovascular disease
11747	I69.920	Aphasia following unspecified cerebrovascular disease
11748	I69.921	Dysphasia following unspecified cerebrovascular disease
11749	I69.922	Dysarthria following unspecified cerebrovascular disease
11750	I69.923	Fluency disorder following unspecified cerebrovascular disease
11751	I69.928	Other speech and language deficits following unspecified cerebrovascular disease
11753	I69.931	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
11754	I69.932	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
11755	I69.933	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
11756	I69.934	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
11757	I69.939	Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
11759	I69.941	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
11760	I69.942	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
11761	I69.943	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
11762	I69.944	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
11763	I69.949	Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
11765	I69.951	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
11766	I69.952	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
11767	I69.953	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
11768	I69.954	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
11769	I69.959	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
11771	I69.961	Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
