MCE_Version	ICD_Version	MCE_Section	MCE_Subsection	MCE_Edit_Type	ICD_Code_Type	ICD_Code	ICD_Desc
33	10	4	A	Newborn_Only	D	A33	Tetanus neonatorum
33	10	4	A	Newborn_Only	D	D807	Transient hypogammaglobulinemia of infancy
33	10	4	A	Newborn_Only	D	E71511	Neonatal adrenoleukodystrophy
33	10	4	A	Newborn_Only	D	E8411	Meconium ileus in cystic fibrosis
33	10	4	A	Newborn_Only	D	H04531	Neonatal obstruction of right nasolacrimal duct
33	10	4	A	Newborn_Only	D	H04532	Neonatal obstruction of left nasolacrimal duct
33	10	4	A	Newborn_Only	D	H04533	Neonatal obstruction of bilateral nasolacrimal duct
33	10	4	A	Newborn_Only	D	H04539	Neonatal obstruction of unspecified nasolacrimal duct
33	10	4	A	Newborn_Only	D	N470	Adherent prepuce, newborn
33	10	4	A	Newborn_Only	D	P000	Newborn affected by maternal hypertensive disorders
33	10	4	A	Newborn_Only	D	P001	Newborn aff by maternal renal and urinary tract diseases
33	10	4	A	Newborn_Only	D	P002	Newborn affected by maternal infec/parastc diseases
33	10	4	A	Newborn_Only	D	P003	Newborn affected by oth maternal circ and resp diseases
33	10	4	A	Newborn_Only	D	P004	Newborn affected by maternal nutritional disorders
33	10	4	A	Newborn_Only	D	P005	Newborn (suspected to be) affected by maternal injury
33	10	4	A	Newborn_Only	D	P006	Newborn affected by surgical procedure on mother
33	10	4	A	Newborn_Only	D	P007	Newborn affected by oth medical procedures on mother, NEC
33	10	4	A	Newborn_Only	D	P0081	Newborn affected by periodontal disease in mother
33	10	4	A	Newborn_Only	D	P0089	Newborn affected by oth maternal conditions
33	10	4	A	Newborn_Only	D	P009	Newborn affected by unsp maternal condition
33	10	4	A	Newborn_Only	D	P010	Newborn (suspected to be) affected by incompetent cervix
33	10	4	A	Newborn_Only	D	P011	Newborn (suspected to be) affected by premature ROM
33	10	4	A	Newborn_Only	D	P012	Newborn (suspected to be) affected by oligohydramnios
33	10	4	A	Newborn_Only	D	P013	Newborn (suspected to be) affected by polyhydramnios
33	10	4	A	Newborn_Only	D	P014	Newborn (suspected to be) affected by ectopic pregnancy
33	10	4	A	Newborn_Only	D	P015	Newborn (suspected to be) affected by multiple pregnancy
33	10	4	A	Newborn_Only	D	P016	Newborn (suspected to be) affected by maternal death
33	10	4	A	Newborn_Only	D	P017	Newborn affected by malpresentation before labor
